Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.000020	 -1.#IND00 	 numero de thread:4
0.000040	 -1.#IND00 	 numero de thread:4
0.000060	 -1.#IND00 	 numero de thread:4
0.000080	 -1.#IND00 	 numero de thread:4
0.000100	 -1.#IND00 	 numero de thread:4
0.000120	 -1.#IND00 	 numero de thread:4
0.000140	 -1.#IND00 	 numero de thread:4
0.000160	 -1.#IND00 	 numero de thread:4
0.000180	 -1.#IND00 	 numero de thread:4
0.000200	 -1.#IND00 	 numero de thread:4
0.000220	 -1.#IND00 	 numero de thread:4
0.000240	 -1.#IND00 	 numero de thread:4
0.000260	 -1.#IND00 	 numero de thread:4
0.000280	 -1.#IND00 	 numero de thread:4
0.000300	 -1.#IND00 	 numero de thread:4
0.000320	 -1.#IND00 	 numero de thread:4
0.000340	 -1.#IND00 	 numero de thread:4
0.000360	 -1.#IND00 	 numero de thread:4
0.000380	 -1.#IND00 	 numero de thread:4
0.000400	 -1.#IND00 	 numero de thread:4
0.000420	 -1.#IND00 	 numero de thread:4
0.000440	 -1.#IND00 	 numero de thread:4
0.000460	 -1.#IND00 	 numero de thread:4
0.000480	 -1.#IND00 	 numero de thread:4
0.000500	 -1.#IND00 	 numero de thread:4
0.000520	 -1.#IND00 	 numero de thread:4
0.000540	 -1.#IND00 	 numero de thread:4
0.000560	 -1.#IND00 	 numero de thread:4
0.000580	 -1.#IND00 	 numero de thread:4
0.000600	 -1.#IND00 	 numero de thread:4
0.000620	 -1.#IND00 	 numero de thread:4
0.000640	 -1.#IND00 	 numero de thread:4
0.000660	 -1.#IND00 	 numero de thread:4
0.000680	 -1.#IND00 	 numero de thread:4
0.000700	 -1.#IND00 	 numero de thread:4
0.000720	 -1.#IND00 	 numero de thread:4
0.000740	 -1.#IND00 	 numero de thread:4
0.000760	 -1.#IND00 	 numero de thread:4
0.000780	 -1.#IND00 	 numero de thread:4
0.000800	 -1.#IND00 	 numero de thread:4
0.000820	 -1.#IND00 	 numero de thread:4
0.000840	 -1.#IND00 	 numero de thread:4
0.000860	 -1.#IND00 	 numero de thread:4
0.000880	 -1.#IND00 	 numero de thread:4
0.000900	 -1.#IND00 	 numero de thread:4
0.000920	 -1.#IND00 	 numero de thread:4
0.000940	 -1.#IND00 	 numero de thread:4
0.000960	 -1.#IND00 	 numero de thread:4
0.000980	 -1.#IND00 	 numero de thread:4
0.001000	 -1.#IND00 	 numero de thread:4
0.001020	 -1.#IND00 	 numero de thread:4
0.001040	 -1.#IND00 	 numero de thread:4
0.001060	 -1.#IND00 	 numero de thread:4
0.001080	 -1.#IND00 	 numero de thread:4
0.001100	 -1.#IND00 	 numero de thread:4
0.001120	 -1.#IND00 	 numero de thread:4
0.001140	 -1.#IND00 	 numero de thread:4
0.001160	 -1.#IND00 	 numero de thread:4
0.001180	 -1.#IND00 	 numero de thread:4
0.001200	 -1.#IND00 	 numero de thread:4
0.001220	 -1.#IND00 	 numero de thread:4
0.001240	 -1.#IND00 	 numero de thread:4
0.001260	 -1.#IND00 	 numero de thread:4
0.001280	 -1.#IND00 	 numero de thread:4
0.001300	 -1.#IND00 	 numero de thread:4
0.001320	 -1.#IND00 	 numero de thread:4
0.001340	 -1.#IND00 	 numero de thread:4
0.001360	 -1.#IND00 	 numero de thread:4
0.001380	 -1.#IND00 	 numero de thread:4
0.001400	 -1.#IND00 	 numero de thread:4
0.001420	 -1.#IND00 	 numero de thread:4
0.001440	 -1.#IND00 	 numero de thread:4
0.001460	 -1.#IND00 	 numero de thread:4
0.001480	 -1.#IND00 	 numero de thread:4
0.001500	 -1.#IND00 	 numero de thread:4
0.001520	 -1.#IND00 	 numero de thread:4
0.001540	 -1.#IND00 	 numero de thread:4
0.001560	 -1.#IND00 	 numero de thread:4
0.001580	 -1.#IND00 	 numero de thread:4
0.001600	 -1.#IND00 	 numero de thread:4
0.001620	 -1.#IND00 	 numero de thread:4
0.001640	 -1.#IND00 	 numero de thread:4
0.001660	 -1.#IND00 	 numero de thread:4
0.001680	 -1.#IND00 	 numero de thread:4
0.001700	 -1.#IND00 	 numero de thread:4
0.001720	 -1.#IND00 	 numero de thread:4
0.001740	 -1.#IND00 	 numero de thread:4
0.001760	 -1.#IND00 	 numero de thread:4
0.001780	 -1.#IND00 	 numero de thread:4
0.001800	 -1.#IND00 	 numero de thread:4
0.001820	 -1.#IND00 	 numero de thread:4
0.001840	 -1.#IND00 	 numero de thread:4
0.001860	 -1.#IND00 	 numero de thread:4
0.001880	 -1.#IND00 	 numero de thread:4
0.001900	 -1.#IND00 	 numero de thread:4
0.001920	 -1.#IND00 	 numero de thread:4
0.001940	 -1.#IND00 	 numero de thread:4
0.001960	 -1.#IND00 	 numero de thread:4
0.001980	 -1.#IND00 	 numero de thread:4
0.002000	 -1.#IND00 	 numero de thread:4
0.002020	 -1.#IND00 	 numero de thread:4
0.002040	 -1.#IND00 	 numero de thread:4
0.002060	 -1.#IND00 	 numero de thread:4
0.002080	 -1.#IND00 	 numero de thread:4
0.002100	 -1.#IND00 	 numero de thread:4
0.002120	 -1.#IND00 	 numero de thread:4
0.002140	 -1.#IND00 	 numero de thread:4
0.002160	 -1.#IND00 	 numero de thread:4
0.002180	 -1.#IND00 	 numero de thread:4
0.002200	 -1.#IND00 	 numero de thread:4
0.002220	 -1.#IND00 	 numero de thread:4
0.002240	 -1.#IND00 	 numero de thread:4
0.002260	 -1.#IND00 	 numero de thread:4
0.002280	 -1.#IND00 	 numero de thread:4
0.002300	 -1.#IND00 	 numero de thread:4
0.002320	 -1.#IND00 	 numero de thread:4
0.002340	 -1.#IND00 	 numero de thread:4
0.002360	 -1.#IND00 	 numero de thread:4
0.002380	 -1.#IND00 	 numero de thread:4
0.002400	 -1.#IND00 	 numero de thread:4
0.002420	 -1.#IND00 	 numero de thread:4
0.002440	 -1.#IND00 	 numero de thread:4
0.002460	 -1.#IND00 	 numero de thread:4
0.002480	 -1.#IND00 	 numero de thread:4
0.002500	 -1.#IND00 	 numero de thread:4
0.002520	 -1.#IND00 	 numero de thread:4
0.002540	 -1.#IND00 	 numero de thread:4
0.002560	 -1.#IND00 	 numero de thread:4
0.002580	 -1.#IND00 	 numero de thread:4
0.002600	 -1.#IND00 	 numero de thread:4
0.002620	 -1.#IND00 	 numero de thread:4
0.002640	 -1.#IND00 	 numero de thread:4
0.002660	 -1.#IND00 	 numero de thread:4
0.002680	 -1.#IND00 	 numero de thread:4
0.002700	 -1.#IND00 	 numero de thread:4
0.002720	 -1.#IND00 	 numero de thread:4
0.002740	 -1.#IND00 	 numero de thread:4
0.002760	 -1.#IND00 	 numero de thread:4
0.002780	 -1.#IND00 	 numero de thread:4
0.002800	 -1.#IND00 	 numero de thread:4
0.002820	 -1.#IND00 	 numero de thread:4
0.002840	 -1.#IND00 	 numero de thread:4
0.002860	 -1.#IND00 	 numero de thread:4
0.002880	 -1.#IND00 	 numero de thread:4
0.002900	 -1.#IND00 	 numero de thread:4
0.002920	 -1.#IND00 	 numero de thread:4
0.002940	 -1.#IND00 	 numero de thread:4
0.002960	 -1.#IND00 	 numero de thread:4
0.002980	 -1.#IND00 	 numero de thread:4
0.003000	 -1.#IND00 	 numero de thread:4
0.003020	 -1.#IND00 	 numero de thread:4
0.003040	 -1.#IND00 	 numero de thread:4
0.003060	 -1.#IND00 	 numero de thread:4
0.003080	 -1.#IND00 	 numero de thread:4
0.003100	 -1.#IND00 	 numero de thread:4
0.003120	 -1.#IND00 	 numero de thread:4
0.003140	 -1.#IND00 	 numero de thread:4
0.003160	 -1.#IND00 	 numero de thread:4
0.003180	 -1.#IND00 	 numero de thread:4
0.003200	 -1.#IND00 	 numero de thread:4
0.003220	 -1.#IND00 	 numero de thread:4
0.003240	 -1.#IND00 	 numero de thread:4
0.003260	 -1.#IND00 	 numero de thread:4
0.003280	 -1.#IND00 	 numero de thread:4
0.003300	 -1.#IND00 	 numero de thread:4
0.003320	 -1.#IND00 	 numero de thread:4
0.003340	 -1.#IND00 	 numero de thread:4
0.003360	 -1.#IND00 	 numero de thread:4
0.003380	 -1.#IND00 	 numero de thread:4
